Autor;Erscheinungsjahr;Titel;ISBN;Aktueller Preis
"Linn Strømsborg";12.04.2021; """ Nie, nie, nie""";9783832170851;4,99
"Iny Lorentz";01.04.2025; """ Lied der Rache""";9783426462898;Unbekannt
"Klaus Brüderle";31.03.2025; """ Bits und Bytes in Mikrochips""";3658465700;Unbekannt
"Klaus Brüderle";31.03.2025; """ Bits und Bytes in Mikrochips""";3658465700;Unbekannt
"Unbekannt";27.02.2025; """ Anfangsunterricht Informatik mit Scratch. Visuelle Programmierung und Interessenförderung""";9783389113240;18,99
"Terry Pratchett";27.02.2025; """ Kleine freie Männer""";9783492610919;10,99
"Andreas Müller";26.02.2025; """ Automaten und Sprachen: Theoretische Informatik Für Die Praxis""";3662701456;Unbekannt
"Alexander F. Flohr";21.02.2025; """ Die Glaubwürdigkeitskrise der Wissenschaft aus Sicht der sozialen Erkenntnistheorie""";9783658469849;54,99
"Alexander F. Flohr";21.02.2025; """ Die Glaubwürdigkeitskrise der Wissenschaft aus Sicht der sozialen Erkenntnistheorie""";9783658469849;54,99
"Christoph Türcke";20.02.2025; """ Philosophie der Musik""";9783406829963;28,99
"Alexander Niebler, Josefin Schulze, Agnes Kloos";17.02.2025; """ Musik – Zeit – Kreativität""";9783990942932;34,79
"Peter Kemper";12.02.2025; """ Eric Clapton. Ein Leben für den Blues""";9783159623894;14,99
"Karsten Weicker";03.02.2025; """ Wissenschaftliches Schreiben in der Informatik""";9783662698723;32,99
"Martin Strohmeier, Lale Yalçin-Heckmann";29.01.2025; """ Die Kurden""";9783406831317;12,99
"Katy Kerry";21.01.2025; """ Flotte Nummer im Büro | Erotische Geschichte""";9783756108275;1,99
"Jason T Morgan";05.01.2025; """ 21 Savage Biografie""";9798306025209;Unbekannt
"Ewald Reder";2025; """ Sergej Rachmaninow - Leben und Werk (1873-1943)""";3958283500;Unbekannt
"Ewald Reder";2025; """ Sergej Rachmaninow - Leben und Werk (1873-1943)""";3958283500;Unbekannt
"Andreas Müller";24.12.2024; """ Automaten und Sprachen: Theoretische Informatik für die Praxis""";9783662701461;37,99
"Andreas Müller";24.12.2024; """ Automaten und Sprachen: Theoretische Informatik für die Praxis""";9783662701461;37,99
"Antonio G Rizzo";22.12.2024; """ Nabucco und das Risorgimento""";338446687X;Unbekannt
"Lafcadio Hearn";19.12.2024; """ Japanische Geistergeschichten""";9783954185887;0,99
"Andreas Knoblauch";18.12.2024; """ Mathematik für Informatik und Data Science""";9783662694794;37,99
"Laurenz Lütteken";16.12.2024; """ Lesarten und Lebenswelten""";9783761873021;39,99
"Anton Zimmermann";12.12.2024; """ BTS hautnah""";9783759148209;Unbekannt
"Carsten Rathgeber";09.12.2024; """ Mathematik""";9783769304183;Unbekannt
"Morgan Blake";08.12.2024; """ Die Geschichte von Paul Mescal""";9798303083165;Unbekannt
"Stine Fischer, Sebastian Jung, Fabian Werner";04.12.2024; """ MusikDurchblick!""";9783795732202;18,99
"Stine Fischer, Sebastian Jung, Fabian Werner";04.12.2024; """ MusikDurchblick!""";9783795732202;18,99
"Silvia Hildebrandt";28.11.2024; """ Am Hof des purpurnen Königs""";9783964034298;Unbekannt
"Franka Maubach";27.11.2024; """ Hans Rosenberg""";9783835348394;39,99
"Franka Maubach";27.11.2024; """ Hans Rosenberg""";9783835348394;39,99
"Lorenz Grünewald-Schukalla, Barbara Hornberger, Anita Jóri, Steffen Lepa, Holger Schwetter, Carsten Winter";26.11.2024; """ Musik & Krisen""";9783658433833;59,99
"Lorenz Grünewald-Schukalla, Barbara Hornberger, Anita Jóri, Steffen Lepa, Holger Schwetter, Carsten Winter";26.11.2024; """ Musik & Krisen""";9783658433833;59,99
"Oliver Klein";18.11.2024; """ Udo Lindenberg hautnah""";9783759135308;Unbekannt
"Stefan Gerlach";15.11.2024; """ Computerphysik""";9783662693476;39,99
"Uwe Schütte";13.11.2024; """ Wir sind die Roboter""";9783641284763;14,99
"Uwe Schütte";13.11.2024; """ Wir sind die Roboter""";9783641284763;14,99
"Markus Schmidt-Gröttrup, Thomas Risse";11.11.2024; """ Mathe - kann ich""";9783446482296;29,99
"Helmut Rennschuh";11.11.2024; """ Innehalten im Geiste der Alexander-Technik, des Voice Dialogue und des Zen""";9783759761323;Unbekannt
"Markus Schmidt-Gröttrup, Thomas Risse";11.11.2024; """ Mathe - kann ich""";9783446482296;29,99
"Hrvoje Krizic";09.11.2024; """ Tutorium Mathematik für Naturwissenschaften""";3662692201;Unbekannt
"Hrvoje Krizic";09.11.2024; """ Tutorium Mathematik für Naturwissenschaften""";3662692201;Unbekannt
"Kai Koch, Bernd Reuschenbach";06.11.2024; """ Musik in der Altenhilfe""";9783170424265;34,99
"Kai Koch, Bernd Reuschenbach";06.11.2024; """ Musik in der Altenhilfe""";9783170424258;34,99
"Kai Koch, Bernd Reuschenbach";06.11.2024; """ Musik in der Altenhilfe""";9783170424258;34,99
"Daniela Schönwald";04.11.2024; """ Der Einsatz der Musik im Film A Clockwork Orange""";3389087141;Unbekannt
"Lothar Papula";01.11.2024; """ Mathematik für Ingenieure und Naturwissenschaftler Band 3""";9783658458041;34,99
"Gabriel Yoran";27.10.2024; """ Schleichwege zur Klassik""";9783458781387;16,99
"Boris von Brauchitsch";27.10.2024; """ William Turner""";9783458781677;21,99
"Boris von Brauchitsch";27.10.2024; """ William Turner""";9783458781677;21,99
"Frank Doll";23.10.2024; """ Pentatonic On Guitar""";3795733030;Unbekannt
"Frauke Geyken";16.10.2024; """ Gerhard und Sabine Leibholz""";9783835387157;25,99
"Roland Greule";07.10.2024; """ Licht und Beleuchtung im Medienbereich""";9783446482135;49,99
"Unbekannt";01.10.2024; """ Frauen in der Informatik. Einflussfaktoren auf die Studienwahl""";9783389073605;29,99
"Bettina Völter, Michael R. Müller, Lena Inowlocki";30.09.2024; """ Bild und Biographie""";9783966659147;32,99
"Raphael Honigstein";26.09.2024; """ »Ich mag, wenn's kracht.«""";9783843735308;14,99
"Walter Roedel, Thomas Wagner";26.09.2024; """ Physik unserer Umwelt: Die Atmosphäre""";9783662689448;39,99
"Thomas Westermann";05.09.2024; """ Mathematik für Ingenieure 1""";3662696576;Unbekannt
"Thomas Westermann";05.09.2024; """ Mathematik für Ingenieure 1""";3662696576;Unbekannt
"Johann Bernhard Basedow";24.08.2024; """ J.B. Basedow's Ausgewählte Schriften: mit Basedow's Biographie, Einleitungen und Anmerkungen""";3386941222;Unbekannt
"Bärbel Barzel, Andreas Büchter, Christian Rütten, Florian Schacht, Stephanie Weskamp-Kleine";22.08.2024; """ Inklusives Lehren und Lernen von Mathematik""";9783658439644;69,99
"Patricia Highsmith";21.08.2024; """ Der talentierte Mr. Ripley""";9783257600957;11,99
"Patricia Highsmith";21.08.2024; """ Der talentierte Mr. Ripley""";9783257600957;11,99
"Michael J. Plein, Pater Hugo M. Plein";15.08.2024; """ Pater Hugo""";9783759791979;6,99
"Michael J. Plein, Pater Hugo M. Plein";15.08.2024; """ Pater Hugo""";9783759791979;6,99
"Fabian Gottfried Prilasnig";13.08.2024; """ Die Rolle der Physik für die Wissenschaftstheorie""";9783389057421;7,99
"Gerhard Merziger, Detlef Wille";05.08.2024; """ Formeln + Hilfen Höhere Mathematik""";9783446482326;29,99
"Gerhard Merziger, Michael Holz, Steffen Timmann, Detlef Wille";05.08.2024; """ Repetitorium Elementare Mathematik 2""";9783446482357;24,99
"Gerhard Merziger, Detlef Wille";05.08.2024; """ Formeln + Hilfen Höhere Mathematik""";9783446482326;29,99
"Richard Schwartz";01.08.2024; """ Invasion""";9783492995962;14,99
"Ernst Engelke, Christian Spatscheck, Stefan Borrmann";19.07.2024; """ Die Wissenschaft Soziale Arbeit""";9783784137087;26,99
