Autor;Erscheinungsjahr;Titel;ISBN;Aktueller Preis
Linn Str�msborg;12.04.2021;"""Nie, nie, nie""";9783832170851;4,99
Elfie Ligensa;09.08.2013;"""Mitternachtssonne am Fjord""";9783843704366;7,99
Hugo Aust;13.12.2016;"""Der historische Roman""";9783476039774;12,99
Stefan Adrian;29.09.2014;"""Bluffen""";9783944543178;Unbekannt
Klaus M. Schmidt, Ingrid Schmidt;12.12.2016;"""Lexikon Literaturverfilmungen""";9783476027276;14,99
A.D. Astinus;10.11.2015;"""Die Neun erfolgreichsten Autoren der Literaturgeschichte""";9783738046892;0,99
Ernest Cline;27.04.2017;"""Ready Player One""";9783104901947;8,99
Jacob Grimm;1893;"""Deutsches W�rterbuch""";Unbekannt;Unbekannt
Unbekannt;1900;"""Literarische Echo""";Unbekannt;Unbekannt
Wilhelm Heinsius;1889;"""Allgemeines B�cher-Lexikon: Bd. 1885-88. Bearb. u. hrsg. von K. Bolhoevener. 1889-90. 2 v""";Unbekannt;Unbekannt
Friedrich Rassmann;1830;"""Kurzgefasstes Lexikon deutscher pseudonymer Schriftsteller von �ltern bis auf die j�ngste Zeit aus allen F�chern der Wissenschaften""";Unbekannt;Unbekannt
Hermann Sudermann;1897;"""Geschwister""";Unbekannt;Unbekannt
Thomas E. Schmidt;21.11.2011;"""Die Geschichtlichkeit des fr�hromantischen Romans""";9783110945614;109,95
Donal Ryan;28.09.2016;"""Die Gesichter der Wahrheit""";9783257607185;9,99
Omar El Akkad;27.07.2017;"""American War""";9783104905174;9,99
Adolph Russell;1882;"""Buch- und Kunst-Katalog""";Unbekannt;Unbekannt
Simon Probst;30.06.2024;"""Sinn in der Klimakrise""";9783839474259;Unbekannt
Judith Hermann;28.04.2021;"""Daheim""";9783104912707;9,99
Felicitas Hoppe;08.09.2021;"""Die Nibelungen""";9783104016153;12,99
Otto Alexander Banck;1865;"""Kritische Wanderungen in drei Kunstgebieten""";Unbekannt;Unbekannt
Unbekannt;1876;"""A magyar nemzeti �s nemzetk�zi irodalom k�nyv�szete, 1441-1876""";Unbekannt;Unbekannt
Heinrich Laube;1878;"""Der Hauptmann von der Schaarwache""";Unbekannt;Unbekannt
Hjalmar Hjorth Boyesen, Otfried Mylius;1881;"""Ein Kommentar zu Goethes Faust""";Unbekannt;Unbekannt
Unbekannt;1890;"""Antiquarischer Katalog""";Unbekannt;Unbekannt
Anonym;14.02.2024;"""Gesammt-Verlags-Katalog des deutschen Buchhandels""";9783368666866;Unbekannt
Christian Gottlob Kayser;1895;"""Vollst�ndiges b�cher-lexicon ...""";Unbekannt;Unbekannt
Johannes Scherr;1887;"""Allgemeine Geschichte der Literatur""";Unbekannt;Unbekannt
Karl von Holtei;1864;"""Briefe an Ludwig Tieck ; Ausgew�hlt und hrsg. von Karl von Holtei""";Unbekannt;Unbekannt
J. C. Hinrichs Verlag;1891;"""Vierteljahrs-katalog der neuigkeiten des deutschen buchhandels nach den wissenschaften geordnet""";Unbekannt;Unbekannt
Pierre Daniel Huet;18.12.2017;"""Trait� De L�Origine des Romans""";9783476992376;27,99
Patricia Highsmith;21.08.2024;"""Der talentierte Mr. Ripley""";9783257600957;11,99
Donna Tartt;10.03.2014;"""Der Distelfink""";9783641125981;9,99
August Seidel;1896;"""Geschichten und Lieder der Afrikaner""";Unbekannt;Unbekannt
Johann Caspar Bluntschli;1892;"""The Theory of State""";Unbekannt;Unbekannt
